Provincia,Año,Cantidad
San Luis,1998,5
San Luis,1999,5
San Luis,2000,2
San Luis,2001,6
San Luis,2002,3
San Luis,2003,2
San Luis,2004,2
San Luis,2005,1
San Luis,2006,2
San Luis,2007,1
San Luis,2008,2
San Luis,2009,3
San Luis,2010,1
San Luis,2011,1
San Luis,2012,2
San Luis,2013,2
San Luis,2014,2
Santa Cruz,1998,4
Santa Cruz,1999,7
Santa Cruz,2000,5
Santa Cruz,2001,6
Santa Cruz,2004,4
Santa Cruz,2005,2
Santa Cruz,2006,6
Santa Cruz,2007,7
Santa Cruz,2008,5
Santa Cruz,2009,3
Santa Cruz,2010,5
Santa Cruz,2011,8
Santa Cruz,2012,5
Santa Cruz,2013,4
Santa Cruz,2014,4
Santa Fe,1998,74
Santa Fe,1999,95
Santa Fe,2000,70
Santa Fe,2001,77
Santa Fe,2002,60
Santa Fe,2003,78
Santa Fe,2004,86
Santa Fe,2005,82
Santa Fe,2006,75
Santa Fe,2007,82
Santa Fe,2008,73
Santa Fe,2009,77
Santa Fe,2010,62
Santa Fe,2011,61
Santa Fe,2012,68
Santa Fe,2013,84
Santa Fe,2014,84
Santiago del Estero,1998,2
Santiago del Estero,2000,1
Santiago del Estero,2007,2
Santiago del Estero,2010,1
Santiago del Estero,2011,2
Santiago del Estero,2013,3
Santiago del Estero,2014,4
Tierra del Fuego,1998,2
Tierra del Fuego,1999,3
Tierra del Fuego,2001,5
Tierra del Fuego,2002,2
Tierra del Fuego,2003,5
Tierra del Fuego,2004,1
Tierra del Fuego,2005,1
Tierra del Fuego,2011,1
Tierra del Fuego,2012,1
Tierra del Fuego,2013,2
Tierra del Fuego,2014,2
Tucumán,1998,11
Tucumán,1999,12
Tucumán,2000,16
Tucumán,2001,6
Tucumán,2002,11
Tucumán,2003,12
Tucumán,2004,17
Tucumán,2005,10
Tucumán,2006,14
Tucumán,2007,13
Tucumán,2008,14
Tucumán,2009,22
Tucumán,2010,10
Tucumán,2011,13
Tucumán,2012,13
Tucumán,2013,15
Tucumán,2014,15
