Provincia,Año,F,M
Ciudad Autónoma de Buenos Aires,2011,3,20
Ciudad Autónoma de Buenos Aires,2012,4,29
Ciudad Autónoma de Buenos Aires,2013,3,17
Ciudad Autónoma de Buenos Aires,2014,3,23
Corrientes,1998,0,0
Corrientes,1999,0,0
Corrientes,2001,0,0
Corrientes,2002,0,0
Corrientes,2003,0,0
Corrientes,2004,0,0
Corrientes,2005,0,1
Corrientes,2006,0,1
Corrientes,2007,0,1
Corrientes,2008,0,1
Corrientes,2009,0,0
Corrientes,2010,0,1
Corrientes,2011,0,1
Corrientes,2012,0,0
Corrientes,2013,0,0
Corrientes,2014,0,1
Córdoba,1998,0,5
Córdoba,1999,0,7
Córdoba,2001,0,1
Córdoba,2002,1,1
Córdoba,2003,0,1
Córdoba,2004,0,4
Córdoba,2005,1,4
Córdoba,2006,0,3
Córdoba,2007,2,7
Córdoba,2008,1,4
Córdoba,2009,0,5
Córdoba,2010,1,5
Córdoba,2011,0,4
Córdoba,2012,0,4
Córdoba,2013,2,5
Córdoba,2014,0,4
Entre Ríos,1998,0,0
Entre Ríos,1999,0,0
Entre Ríos,2001,0,0
Entre Ríos,2002,0,1
Entre Ríos,2003,0,1
Entre Ríos,2004,0,1
Entre Ríos,2005,0,1
Entre Ríos,2006,0,2
Entre Ríos,2007,1,1
Entre Ríos,2008,0,1
Entre Ríos,2009,0,1
Entre Ríos,2010,0,0
Entre Ríos,2011,0,2
Entre Ríos,2012,0,2
Entre Ríos,2013,0,0
Entre Ríos,2014,1,3
Formosa,1998,0,0
Formosa,1999,0,1
Formosa,2001,0,0
Formosa,2002,0,0
Formosa,2003,0,0
Formosa,2004,0,2
Formosa,2005,0,1
Formosa,2006,0,0
Formosa,2007,0,0
Formosa,2008,0,0
Formosa,2009,0,0
Formosa,2010,0,1
Formosa,2011,0,0
Formosa,2012,0,0
Formosa,2013,0,1
Formosa,2014,0,1
Jujuy,1998,0,0
Jujuy,1999,0,0
Jujuy,2001,0,0
Jujuy,2002,0,0
Jujuy,2003,0,1
Jujuy,2004,0,0
Jujuy,2005,0,1
Jujuy,2006,0,0
Jujuy,2007,0,0
Jujuy,2008,0,0
Jujuy,2009,0,0
Jujuy,2010,0,0
Jujuy,2011,0,0
Jujuy,2012,0,1
Jujuy,2013,0,0
Jujuy,2014,0,0
La Pampa,1998,0,1
La Pampa,1999,0,1
La Pampa,2001,0,1
La Pampa,2002,0,0
La Pampa,2003,0,0
La Pampa,2004,0,0
La Pampa,2005,0,0
La Pampa,2006,0,1
La Pampa,2007,0,1
La Pampa,2008,0,0
La Pampa,2009,0,0
La Pampa,2010,0,1
La Pampa,2011,0,1
La Pampa,2012,0,0
La Pampa,2013,0,1
La Pampa,2014,1,0
La Rioja,1998,0,0
La Rioja,1999,0,0
La Rioja,2001,0,0
La Rioja,2002,0,0
La Rioja,2003,0,0
La Rioja,2004,0,0
La Rioja,2005,0,0
La Rioja,2006,0,1
La Rioja,2007,0,0
La Rioja,2008,0,0
La Rioja,2009,0,0
La Rioja,2010,0,0
La Rioja,2011,0,0
La Rioja,2012,0,0
La Rioja,2013,0,1
La Rioja,2014,0,0
Mendoza,1998,0,0
Mendoza,1999,0,1
Mendoza,2001,0,0
Mendoza,2002,0,3
Mendoza,2003,0,1
Mendoza,2004,0,3
Mendoza,2005,0,2
Mendoza,2006,0,1
Mendoza,2007,0,2
Mendoza,2008,0,1
Mendoza,2009,0,1
Mendoza,2010,0,5
Mendoza,2011,0,2
Mendoza,2012,1,0
Mendoza,2013,3,1
Mendoza,2014,0,0
Misiones,1998,0,0
Misiones,1999,0,0
Misiones,2001,0,0
Misiones,2002,0,0
Misiones,2003,0,0
Misiones,2004,0,1
Misiones,2005,0,2
Misiones,2006,0,0
Misiones,2007,0,2
Misiones,2008,0,3
Misiones,2009,0,3
Misiones,2010,0,4
Misiones,2011,0,2
Misiones,2012,0,1
Misiones,2013,0,0
Misiones,2014,0,1
Neuquén,1998,0,0
Neuquén,1999,0,1
Neuquén,2001,1,0
Neuquén,2002,0,0
Neuquén,2003,0,0
Neuquén,2004,1,0
Neuquén,2005,0,0
Neuquén,2006,0,0
Neuquén,2007,0,0
Neuquén,2008,0,0
Neuquén,2009,0,0
Neuquén,2010,0,0
Neuquén,2011,1,1
Neuquén,2012,0,1
Neuquén,2013,0,2
Neuquén,2014,1,0
Río Negro,1998,0,1
Río Negro,1999,0,0
Río Negro,2001,0,0
Río Negro,2002,0,1
Río Negro,2003,1,3
Río Negro,2004,0,0
Río Negro,2005,0,0
Río Negro,2006,0,2
Río Negro,2007,0,2
Río Negro,2008,0,2
Río Negro,2009,0,1
Río Negro,2010,0,2
Río Negro,2011,0,1
Río Negro,2012,0,0
Río Negro,2013,0,0
Río Negro,2014,0,0
Salta,1998,0,0
Salta,1999,0,2
Salta,2001,0,0
Salta,2002,0,0
Salta,2003,0,0
Salta,2004,0,0
Salta,2005,0,0
Salta,2006,0,0
Salta,2007,0,1
Salta,2008,1,1
Salta,2009,0,0
Salta,2010,0,0
Salta,2011,0,0
Salta,2012,0,3
Salta,2013,0,0
Salta,2014,0,0
San Juan,1998,0,0
San Juan,1999,0,0
San Juan,2001,0,0
San Juan,2002,0,0
San Juan,2003,0,0
San Juan,2004,0,0
San Juan,2005,0,0
San Juan,2006,0,0
San Juan,2007,0,0
San Juan,2008,0,0
San Juan,2009,0,0
San Juan,2010,0,0
San Juan,2011,0,1
San Juan,2012,0,0
San Juan,2013,0,1
San Juan,2014,0,0
San Luis,1998,0,1
San Luis,1999,0,0
San Luis,2001,0,0
San Luis,2002,0,0
San Luis,2003,0,0
San Luis,2004,0,0
San Luis,2005,0,0
San Luis,2006,0,0
San Luis,2007,0,1
San Luis,2008,0,0
San Luis,2009,0,0
San Luis,2010,0,1
San Luis,2011,0,0
San Luis,2012,0,0
San Luis,2013,0,0
San Luis,2014,0,0
Santa Cruz,1998,0,1
Santa Cruz,1999,0,0
Santa Cruz,2001,0,0
Santa Cruz,2002,0,0
Santa Cruz,2003,0,0
Santa Cruz,2004,0,0
Santa Cruz,2005,0,0
Santa Cruz,2006,0,0
Santa Cruz,2007,0,0
Santa Cruz,2008,0,0
Santa Cruz,2009,0,0
Santa Cruz,2010,0,0
Santa Cruz,2011,0,1
Santa Cruz,2012,0,1
Santa Cruz,2013,0,0
Santa Cruz,2014,0,1
Santa Fe,1998,1,5
Santa Fe,1999,2,6
Santa Fe,2001,0,0
Santa Fe,2002,1,4
Santa Fe,2003,3,5
Santa Fe,2004,2,9
Santa Fe,2005,0,5
Santa Fe,2006,3,9
Santa Fe,2007,6,7
Santa Fe,2008,4,11
Santa Fe,2009,5,7
Santa Fe,2010,3,7
Santa Fe,2011,1,9
Santa Fe,2012,3,12
Santa Fe,2013,3,13
Santa Fe,2014,2,25
Santiago del Estero,1998,0,0
Santiago del Estero,1999,0,0
Santiago del Estero,2001,0,0
Santiago del Estero,2002,0,0
Santiago del Estero,2003,0,0
Santiago del Estero,2004,0,0
Santiago del Estero,2005,0,0
Santiago del Estero,2006,0,0
Santiago del Estero,2007,0,0
Santiago del Estero,2008,0,0
Santiago del Estero,2009,0,0
Santiago del Estero,2010,0,0
Santiago del Estero,2011,0,0
Santiago del Estero,2012,0,0
Santiago del Estero,2013,0,0
Santiago del Estero,2014,0,0
Tierra del Fuego,1998,0,0
Tierra del Fuego,1999,0,0
Tierra del Fuego,2001,0,0
Tierra del Fuego,2002,0,0
Tierra del Fuego,2003,0,0
Tierra del Fuego,2004,0,0
Tierra del Fuego,2005,0,0
Tierra del Fuego,2006,0,0
Tierra del Fuego,2007,0,0
Tierra del Fuego,2008,0,0
Tierra del Fuego,2009,0,0
Tierra del Fuego,2010,0,0
Tierra del Fuego,2011,0,0
Tierra del Fuego,2012,0,0
Tierra del Fuego,2013,0,0
Tierra del Fuego,2014,0,0
Tucumán,1998,0,0
Tucumán,1999,0,0
Tucumán,2001,0,0
Tucumán,2002,0,0
Tucumán,2003,0,0
Tucumán,2004,0,0
Tucumán,2005,0,2
Tucumán,2006,0,1
Tucumán,2007,0,0
Tucumán,2008,0,0
Tucumán,2009,0,4
Tucumán,2010,1,3
Tucumán,2011,2,3
Tucumán,2012,2,0
Tucumán,2013,1,0
Tucumán,2014,1,3
